Analytical,RK2,LeapFrog
0.00108382,0.00120329,0.00120329
0.00153511,0.00166727,0.000927963
0.00109051,0.000993314,-0.000656815
9.47924e-06,-0.000448286,-0.00257735
-0.00107708,-0.0017082,-0.00365365
-0.00153505,-0.00187628,-0.00322444
-0.00109716,-0.000730354,-0.00155342
-1.89581e-05,0.00104138,0.000332722
0.00107031,0.0022422,0.00127513
0.00153494,0.00196713,0.000694787
0.00110377,0.00027184,-0.00105175
2.84363e-05,-0.00177612,-0.00289139
-0.00106349,-0.00275847,-0.00369385
-0.00153476,-0.00187839,-0.0029661
-0.00111034,0.000416113,-0.00115527
-3.79133e-05,0.00263222,0.000626059
0.00105664,0.00319181,0.00128343
0.00153453,0.00154192,0.000412943
0.00111686,-0.00135656,-0.00145056
4.7389e-05,-0.00356708,-0.00316214
-0.00104974,-0.00345794,-0.00367019
-0.00153423,-0.000887593,-0.00266256
-0.00112334,0.00255444,-0.000758349
-5.68628e-05,0.00451077,0.000872492
0.0010428,0.00345459,0.00122796
0.00153388,-0.000149802,8.96579e-05
0.00112978,-0.00398818,-0.00184304
6.63344e-05,-0.00536206,-0.00338267
-0.00103583,-0.00306509,-0.00358328
-0.00153347,0.00162113,-0.00232161
-0.00113618,0.00560058,-0.000372836
-7.58036e-05,0.00598601,0.0010657
0.00102881,0.00216506,0.00111016
0.00153301,-0.00355104,-0.000266779
0.00114253,-0.00728968,-0.00221911
8.52698e-05,-0.00621438,-0.00354732
-0.00102176,-0.000632978,-0.00343534
-0.00153248,0.0059238,-0.00195198
-0.00114884,0.00890071,-8.61708e-06
-9.47328e-05,0.00584992,0.00120073
0.00101466,-0.00163508,0.000933036
0.00153189,-0.00866756,-0.000647228
0.00115511,-0.0102203,-0.00256914
0.000104192,-0.00467569,-0.00365186
-0.00100753,0.00470625,-0.00323017
-0.00153125,0.0116379,-0.00156315
-0.00116133,0.010975,0.00032497
-0.000113648,0.00247072,0.00127412
0.00100036,-0.00858736,0.000701139
0.00153055,-0.0146025,-0.00104193
0.0011675,-0.0108353,-0.00288414
0.000123099,0.000967169,-0.00369363
-0.000993149,0.013198,-0.00297303
-0.00152979,0.0172287,-0.0011651
-0.00117364,0.00942838,0.000619372
-0.000132545,-0.00579068,0.00128399
0.000985901,-0.0183417,0.000420411
0.00152897,-0.019077,-0.00144078
0.00117973,-0.00636032,-0.00315605
