Analytical,RK2,LeapFrog
1.74184e-22,1.70396e-22,2.45953e-22
7.59374e-25,-3.30653e-23,-5.62768e-23
-1.73108e-22,-2.32292e-22,-3.2393e-22
-2.45949e-22,-2.85676e-22,-3.92559e-22
-1.75252e-22,-1.41618e-22,-2.19998e-22
-2.27809e-24,1.16412e-22,8.77315e-23
1.72026e-22,3.16282e-22,3.41558e-22
2.45935e-22,3.10841e-22,3.85529e-22
1.76315e-22,8.45688e-23,1.92629e-22
3.79673e-24,-2.22998e-22,-1.18623e-22
-1.70937e-22,-4.01535e-22,-3.56993e-22
-2.45911e-22,-3.12321e-22,-3.76024e-22
-1.7737e-22,6.6784e-24,-1.64025e-22
-5.31522e-24,3.5105e-22,1.48753e-22
1.69842e-22,4.79104e-22,3.70136e-22
2.45878e-22,2.79664e-22,3.64105e-22
1.78419e-22,-1.36817e-22,1.34367e-22
6.8335e-24,-4.95631e-22,-1.77928e-22
-1.6874e-22,-5.37014e-22,-3.80902e-22
-2.45836e-22,-2.01679e-22,-3.49848e-22
-1.79461e-22,3.08249e-22,-1.03846e-22
-8.35153e-24,6.4782e-22,2.0596e-22
1.67632e-22,5.60276e-22,3.89223e-22
2.45785e-22,6.73589e-23,3.33345e-22
1.80496e-22,-5.19819e-22,7.26583e-23
9.86923e-24,-7.93975e-22,-2.3267e-22
-1.66517e-22,-5.31251e-22,-3.95045e-22
-2.45724e-22,1.32807e-22,-3.14702e-22
-1.81524e-22,7.65403e-22,-4.10044e-23
-1.13866e-23,9.15198e-22,2.57887e-22
1.65396e-22,4.30457e-22,3.98331e-22
2.45653e-22,-4.0513e-22,2.94038e-22
1.82546e-22,-1.03243e-21,9.08716e-24
1.29035e-23,-9.87161e-22,-2.81447e-22
-1.64269e-22,-2.37945e-22,-3.99059e-22
-2.45574e-22,7.50628e-22,-2.71487e-22
-1.8356e-22,1.30047e-21,2.28884e-23
-1.44199e-23,9.80452e-22,3.03201e-22
1.63136e-22,-6.46865e-23,3.97225e-22
2.45485e-22,-1.16261e-21,2.47192e-22
1.84567e-22,-1.54012e-21,-5.4717e-23
1.59357e-23,-8.61646e-22,-3.23007e-22
-1.61996e-22,4.9157e-22,-3.9284e-22
-2.45386e-22,1.62408e-21,-2.2131e-22
-1.85568e-22,1.71235e-21,8.61943e-23
-1.7451e-23,5.9528e-22,3.4074e-22
1.6085e-22,-1.04914e-21,3.85934e-22
2.45278e-22,-2.10514e-21,1.94007e-22
1.86561e-22,-1.76872e-21,-1.17118e-22
1.89655e-23,-1.46921e-22,-3.56286e-22
-1.59698e-22,1.73207e-21,-3.7655e-22
-2.45161e-22,2.56073e-21,-1.65459e-22
-1.87547e-22,1.6526e-21,1.4729e-22
-2.04794e-23,-5.12554e-22,3.69544e-22
1.5854e-22,-2.51876e-21,3.64748e-22
2.45035e-22,-2.92905e-21,1.35849e-22
1.88526e-22,-1.30202e-21,-1.76516e-22
2.19925e-23,1.40141e-21,-3.80429e-22
-1.57376e-22,3.36668e-21,-3.50604e-22
-2.44899e-22,3.13119e-21,-1.05366e-22
-1.89498e-22,6.54151e-22,2.04609e-22
-2.35047e-23,-2.5203e-21,3.88872e-22
1.56206e-22,-4.208e-21,3.34209e-22
2.44754e-22,-3.07243e-21,7.42065e-23
1.90462e-22,3.47977e-22,-2.31389e-22
2.50161e-23,3.84454e-21,-3.94818e-22
-1.5503e-22,4.94616e-21,-3.15668e-22
-2.44599e-22,2.64601e-21,-4.25708e-23
-1.9142e-22,-1.74665e-21,2.56682e-22
