Analytical,RK2,LeapFrog
0.000447952,0.000471593,0.000943186
0.00153038,0.0017415,0.00282956
0.00261558,0.00298497,0.00450012
0.00307021,0.00331817,0.00492847
0.00262896,0.00241903,0.00385142
0.00154934,0.000808535,0.00193073
0.000461419,-0.000438959,0.000346469
1.17067e-07,-0.000404998,7.20209e-05
0.00043465,0.00100728,0.00127601
0.00151142,0.00292697,0.00321869
0.00260203,0.0040413,0.00470648
0.00306998,0.00348448,0.00482527
0.00264218,0.00149344,0.00350207
0.0015683,-0.000655961,0.00154986
0.000475051,-0.00145521,0.0001681
4.6825e-07,-0.000210408,0.00020574
0.000421516,0.00238907,0.00163966
0.00149247,0.0046286,0.00358884
0.00258831,0.0048869,0.00485571
0.00306951,0.0027939,0.00466189
0.00265523,-0.000388819,0.00312646
0.00158725,-0.00250825,0.0011928
0.000488844,-0.00196185,4.89665e-05
1.0535e-06,0.0011147,0.000397728
0.000408552,0.00477958,0.00202481
0.00147352,0.00649072,0.00393052
0.00257444,0.00485093,0.00494398
0.00306881,0.000706205,0.00444252
0.00266811,-0.00324215,0.00273424
0.00160619,-0.0041771,0.000868705
0.000502796,-0.00115158,-7.87805e-06
1.87272e-06,0.00406374,0.000643064
0.00039576,0.00797902,0.00242159
0.00145458,0.00769649,0.00423496
0.00256041,0.00302026,0.00496903
0.00306787,-0.00314993,0.00417279
0.00268081,-0.00658175,0.00233545
0.00162512,-0.00458438,0.000585877
0.000516907,0.00193886,-9.75817e-07
2.92578e-06,0.00879156,0.000935456
0.000383141,0.0111478,0.00281982
0.00143566,0.00691309,0.00449436
0.00254622,-0.00153302,0.00493022
0.0030667,-0.00860158,0.00385962
0.00269334,-0.00915255,0.00194032
0.00164404,-0.00218032,0.000351571
0.000531172,0.00808332,6.94962e-05
4.21254e-06,0.0146744,0.00126741
0.000370698,0.0125746,0.0032093
0.00141675,0.00245213,0.00470207
0.00253188,-0.00927559,0.00482854
0.0030653,-0.0144477,0.00351102
0.0027057,-0.00877962,0.00155899
0.00166294,0.00473423,0.000171796
0.00054559,0.017256,0.000201731
5.73279e-06,0.0198168,0.00163041
0.000358433,0.00966167,0.00358004
0.00139785,-0.00721179,0.00485276
0.00251738,-0.019478,0.0046666
0.00306366,-0.0180082,0.00313595
0.00271787,-0.00254777,0.00120123
0.00168183,0.0172656,5.11609e-05
0.00056016,0.0277994,0.000392338
7.48629e-06,0.0207117,0.00201515
0.000346347,-0.000636781,0.00392252
0.00137898,-0.0224606,0.00494256
0.00250274,-0.0293364,0.00444855
0.00306179,-0.01498,0.00274401
0.00272987,0.0124369,0.00087622
0.00170069,0.0347142,-7.24129e-06
0.000574878,0.0355773,0.000636431
9.47279e-06,0.0123935,0.00241176
0.000334443,-0.0206745,0.00422798
0.00136013,-0.0411214,0.00496919
0.00248795,-0.033264,0.00417998
0.00305969,-1.5814e-07,0.00234526
0.00274168,0.0374911,0.000592284
0.00171952,0.0530357,-1.91302e-06
0.000589743,0.0335448,0.00092775
1.1692e-05,-0.0104733,0.00281008
0.000322722,-0.0501342,0.00448857
0.00134131,-0.0569159,0.00493194
0.00247301,-0.0229088,0.00386779
0.00305735,0.0316331,0.00194993
0.00275331,0.0699894,0.000356707
0.00173833,0.0634467,6.70091e-05
0.000604751,0.0124048,0.00125883
1.41435e-05,-0.0511582,0.0031999
0.000311185,-0.083372,0.00469762
0.00132252,-0.0584455,0.00483178
0.00245793,0.0113464,0.00351996
0.00305478,0.0807708,0.00156814
0.00276475,0.100586,0.000175528
0.0017571,0.0520667,0.000197758
0.000619902,-0.0368477,0.00162117
1.6827e-05,-0.106948,0.00357121
0.000299836,-0.106774,0.00484976
0.00130376,-0.0298158,0.00467128
0.00244271,0.0766259,0.00314542
0.00305198,0.13989,0.00120968
0.00277601,0.111062,5.33931e-05
0.00177584,0.00188251,0.000386981
0.000635192,-0.117847,0.00200549
1.97421e-05,-0.16426,0.0039145
0.000288674,-0.0975411,0.0049411
0.00128504,0.0456971,0.00445455
0.00242735,0.171152,0.00275378
0.00304895,0.188226,0.000883761
0.00278708,0.0745884,-6.56583e-06
0.00179455,-0.101552,0.000629826
0.00065062,-0.221249,0.00240193
2.28883e-05,-0.194338,0.00422097
0.000277703,-0.0260564,0.0049693
0.00126635,0.177663,0.00418715
0.00241186,0.275772,0.00235508
0.00304569,0.188767,0.000598721
0.00279795,-0.0391552,-2.81161e-06
0.00181322,-0.259747,0.000920068
0.000666182,-0.315965,0.00280034
2.62652e-05,-0.152452,0.00448275
0.000266924,0.135636,0.00493362
0.00124771,0.355863,0.00387593
0.00239623,0.345734,0.00195954
0.0030422,0.0906883,0.000361875
0.00280863,-0.251617,6.45595e-05
0.00183184,-0.446798,0.00125026
0.000681877,-0.34263,0.00319048
2.98722e-05,0.015306,0.00469314
0.000256337,0.397261,0.00483499
0.00122911,0.534781,0.00352888
0.00238047,0.307325,0.0015773
0.00303848,-0.158334,0.000179295
0.00281912,-0.554627,0.00019382
0.00185042,-0.594124,0.00161195
0.000697702,-0.215158,0.00356237
3.37087e-05,0.35316,0.00484674
0.000245947,0.725887,0.00467593
0.00121055,0.620385,0.00315489
0.00236458,0.0662981,0.00121816
0.00303453,-0.585982,5.5663e-05
0.00282942,-0.883401,0.000381656
0.00186895,-0.581664,0.00199584
0.000713655,0.161908,0.00390646
3.77743e-05,0.861985,0.00493961
0.000235752,1.01826,0.00446052
0.00119205,0.468652,0.00276355
0.00234856,-0.463908,0.000891326
0.00303035,-1.15458,-5.85167e-06
0.00283951,-1.091,0.000623251
0.00188743,-0.247059,0.00239211
0.000729733,0.85273,0.00421393
4.20682e-05,1.453,0.00496937
0.000225756,1.08115,0.00419429
0.0011736,-0.0909971,0.0023649
0.00233242,-1.30818,0.000605188
0.00302594,-1.71194,-3.67155e-06
0.00284941,-0.939325,0.00091241
0.00190585,0.573066,0.00279059
0.000745934,1.8231,0.0044769
4.65898e-05,1.90001,0.00493526
0.000215959,0.638587,0.00388406
0.0011552,-1.19341,0.00196916
0.00231616,-2.35135,0.000367077
0.0030213,-1.95089,6.21475e-05
0.0028591,-0.128801,0.00124172
0.00192422,1.95763,0.00318106
0.000762255,2.85452,0.00468862
5.13385e-05,1.81392,0.00483816
0.000206364,-0.609462,0.00353779
0.00113686,-2.82849,0.00158647
0.00229978,-3.25107,0.000183099
0.00301644,-1.40816,0.000189918
0.0028686,1.60784,0.00160274
0.00194253,3.76995,0.00355351
0.000778694,3.46514,0.00484367
5.63135e-05,0.676626,0.00468054
0.000196972,-2.85354,0.00316435
0.00111858,-4.69324,0.00122664
0.00228328,-3.379,5.79707e-05
0.00301135,0.455315,0.000376363
0.00287789,4.32986,0.0019862
0.00196078,5.50224,0.00389839
0.000795249,2.88647,0.00493807
6.1514e-05,-2.02093,0.00446646
0.000187783,-5.95799,0.00277332
0.00110036,-6.04261,0.000898916
0.00226667,-1.85126,-5.09882e-06
0.00300604,4.04887,0.000616704
0.00288697,7.63714,0.00238228
0.00197896,6.1521,0.00420686
0.000811916,0.167518,0.00496941
6.69392e-05,-6.4995,0.0042014
0.0001788,-9.18791,0.00237472
0.00108222,-5.61675,0.000611683
0.00224995,2.27355,-4.49284e-06
0.0030005,9.29813,0.000904776
0.00289585,10.3964,0.00278083
0.00199707,4.23068,0.00447101
0.000828694,-5.51447,0.00493686
7.25884e-05,-12.2697,0.00389217
0.000170024,-10.9648,0.00197878
