Analytical,RK2,LeapFrog,Boost-RKF,BOOST-Dopri5
7.12866e-23,7.12868e-23,7.12878e-23,-4.14249e-23,2.29332e-23
7.21735e-23,7.21737e-23,7.21747e-23,-2.23137e-23,3.8364e-23
7.30594e-23,7.30596e-23,7.30606e-23,-3.06555e-24,5.36414e-23
7.39443e-23,7.39444e-23,7.39455e-23,1.62014e-23,7.01328e-23
7.48281e-23,7.48283e-23,7.48293e-23,3.53689e-23,8.62875e-23
7.57108e-23,7.5711e-23,7.57121e-23,5.43192e-23,1.02602e-22
7.65925e-23,7.65927e-23,7.65938e-23,7.2936e-23,1.18387e-22
7.74731e-23,7.74733e-23,7.74744e-23,9.11048e-23,1.34226e-22
7.83526e-23,7.83528e-23,7.83539e-23,1.08714e-22,1.49308e-22
7.92309e-23,7.92311e-23,7.92322e-23,1.25656e-22,1.64137e-22
8.01082e-23,8.01084e-23,8.01095e-23,1.41826e-22,1.77961e-22
8.09843e-23,8.09845e-23,8.09856e-23,1.57125e-22,1.91169e-22
8.18592e-23,8.18594e-23,8.18606e-23,1.7146e-22,2.03112e-22
8.2733e-23,8.27332e-23,8.27344e-23,1.84741e-22,2.14068e-22
8.36056e-23,8.36058e-23,8.3607e-23,1.96888e-22,2.23505e-22
8.44771e-23,8.44773e-23,8.44785e-23,2.07826e-22,2.31592e-22
8.53473e-23,8.53475e-23,8.53487e-23,2.17487e-22,2.37922e-22
8.62163e-23,8.62165e-23,8.62177e-23,2.25813e-22,2.42445e-22
8.70841e-23,8.70843e-23,8.70855e-23,2.32753e-22,2.45212e-22
8.79506e-23,8.79508e-23,8.79521e-23,2.38263e-22,2.4593e-22
8.88159e-23,8.88161e-23,8.88174e-23,2.42309e-22,2.44595e-22
8.968e-23,8.96802e-23,8.96814e-23,2.44868e-22,2.40998e-22
9.05427e-23,9.05429e-23,9.05442e-23,2.45924e-22,2.35186e-22
9.14042e-23,9.14044e-23,9.14057e-23,2.45468e-22,2.26898e-22
9.22644e-23,9.22646e-23,9.22659e-23,2.43506e-22,2.16378e-22
9.31232e-23,9.31235e-23,9.31248e-23,2.40048e-22,2.03215e-22
9.39808e-23,9.3981e-23,9.39823e-23,2.35116e-22,1.87901e-22
9.4837e-23,9.48372e-23,9.48386e-23,2.28741e-22,1.70596e-22
9.56919e-23,9.56921e-23,9.56934e-23,2.2096e-22,1.51486e-22
9.65453e-23,9.65456e-23,9.65469e-23,2.11823e-22,1.32986e-22
9.73975e-23,9.73977e-23,9.73991e-23,2.01385e-22,1.13356e-22
9.82482e-23,9.82484e-23,9.82498e-23,1.8971e-22,9.27601e-23
9.90976e-23,9.90978e-23,9.90992e-23,1.7687e-22,7.38655e-23
9.99455e-23,9.99457e-23,9.99471e-23,1.62944e-22,5.44783e-23
1.00792e-22,1.00792e-22,1.00794e-22,1.48018e-22,3.47279e-23
1.01637e-22,1.01637e-22,1.01639e-22,1.32182e-22,1.81164e-23
1.02481e-22,1.02481e-22,1.02482e-22,1.15535e-22,1.4213e-24
1.03323e-22,1.03323e-22,1.03325e-22,9.81783e-23,-1.18371e-23
1.04164e-22,1.04164e-22,1.04165e-22,8.02187e-23,-2.50612e-23
1.05003e-22,1.05003e-22,1.05005e-22,6.17665e-23,-3.97443e-23
1.05841e-22,1.05841e-22,1.05842e-22,4.2935e-23,-5.56172e-23
1.06677e-22,1.06677e-22,1.06679e-22,2.38398e-23,-7.23104e-23
1.07512e-22,1.07512e-22,1.07513e-22,4.59818e-24,-8.9531e-23
1.08345e-22,1.08345e-22,1.08347e-22,-1.46716e-23,-1.0702e-22
1.09176e-22,1.09177e-22,1.09178e-22,-3.38514e-23,-1.24533e-22
1.10007e-22,1.10007e-22,1.10008e-22,-5.28232e-23,-1.4183e-22
1.10835e-22,1.10835e-22,1.10837e-22,-7.14707e-23,-1.58672e-22
1.11662e-22,1.11662e-22,1.11664e-22,-8.96793e-23,-1.74326e-22
1.12487e-22,1.12488e-22,1.12489e-22,-1.07337e-22,-1.89563e-22
1.13311e-22,1.13311e-22,1.13313e-22,-1.24336e-22,-2.03188e-22
1.14133e-22,1.14134e-22,1.14135e-22,-1.40571e-22,-2.15809e-22
1.14954e-22,1.14954e-22,1.14956e-22,-1.55943e-22,-2.26673e-22
1.15773e-22,1.15773e-22,1.15775e-22,-1.70357e-22,-2.35482e-22
1.1659e-22,1.1659e-22,1.16592e-22,-1.83725e-22,-2.41661e-22
1.17406e-22,1.17406e-22,1.17408e-22,-1.95965e-22,-2.4514e-22
1.1822e-22,1.1822e-22,1.18222e-22,-2.07002e-22,-2.4588e-22
1.19032e-22,1.19032e-22,1.19034e-22,-2.16767e-22,-2.43874e-22
1.19842e-22,1.19843e-22,1.19844e-22,-2.25201e-22,-2.39876e-22
1.20651e-22,1.20652e-22,1.20653e-22,-2.32253e-22,-2.33823e-22
1.21458e-22,1.21459e-22,1.2146e-22,-2.37878e-22,-2.25766e-22
1.22264e-22,1.22264e-22,1.22266e-22,-2.42042e-22,-2.15773e-22
1.23068e-22,1.23068e-22,1.2307e-22,-2.4472e-22,-2.0393e-22
1.23869e-22,1.2387e-22,1.23871e-22,-2.45895e-22,-1.9034e-22
1.2467e-22,1.2467e-22,1.24672e-22,-2.4556e-22,-1.75118e-22
1.25468e-22,1.25468e-22,1.2547e-22,-2.43717e-22,-1.60606e-22
1.26265e-22,1.26265e-22,1.26267e-22,-2.40377e-22,-1.45047e-22
1.27059e-22,1.2706e-22,1.27062e-22,-2.35562e-22,-1.2854e-22
1.27853e-22,1.27853e-22,1.27855e-22,-2.29299e-22,-1.11195e-22
1.28644e-22,1.28644e-22,1.28646e-22,-2.21629e-22,-9.31241e-23
1.29433e-22,1.29433e-22,1.29435e-22,-2.12598e-22,-7.64485e-23
1.30221e-22,1.30221e-22,1.30223e-22,-2.02261e-22,-5.93741e-23
1.31006e-22,1.31007e-22,1.31008e-22,-1.90682e-22,-4.19899e-23
1.3179e-22,1.3179e-22,1.31792e-22,-1.77932e-22,-2.43865e-23
1.32572e-22,1.32572e-22,1.32574e-22,-1.64089e-22,-8.90851e-24
1.33352e-22,1.33352e-22,1.33354e-22,-1.49239e-22,6.60497e-24
1.3413e-22,1.34131e-22,1.34133e-22,-1.33472e-22,2.20922e-23
1.34907e-22,1.34907e-22,1.34909e-22,-1.16886e-22,3.74915e-23
1.35681e-22,1.35681e-22,1.35683e-22,-9.95818e-23,5.27416e-23
1.36453e-22,1.36454e-22,1.36456e-22,-8.16662e-23,6.92447e-23
1.37224e-22,1.37224e-22,1.37226e-22,-6.3249e-23,8.54155e-23
1.37992e-22,1.37993e-22,1.37995e-22,-4.44434e-23,1.01738e-22
1.38759e-22,1.38759e-22,1.38761e-22,-2.53649e-23,1.17536e-22
1.39523e-22,1.39524e-22,1.39526e-22,-6.13063e-24,1.33394e-22
1.40286e-22,1.40286e-22,1.40288e-22,1.31413e-23,1.48501e-22
1.41047e-22,1.41047e-22,1.41049e-22,3.23325e-23,1.63366e-22
1.41805e-22,1.41806e-22,1.41808e-22,5.13252e-23,1.77231e-22
1.42562e-22,1.42562e-22,1.42564e-22,7.00027e-23,1.90491e-22
1.43317e-22,1.43317e-22,1.43319e-22,8.82503e-23,2.02493e-22
1.44069e-22,1.44069e-22,1.44071e-22,1.05956e-22,2.13518e-22
1.4482e-22,1.4482e-22,1.44822e-22,1.23011e-22,2.2303e-22
1.45568e-22,1.45568e-22,1.4557e-22,1.39311e-22,2.31202e-22
1.46314e-22,1.46315e-22,1.46317e-22,1.54755e-22,2.37623e-22
1.47059e-22,1.47059e-22,1.47061e-22,1.69248e-22,2.42242e-22
1.47801e-22,1.47801e-22,1.47803e-22,1.82703e-22,2.45115e-22
1.48541e-22,1.48541e-22,1.48543e-22,1.95035e-22,2.45944e-22
1.49279e-22,1.49279e-22,1.49281e-22,2.0617e-22,2.44723e-22
1.50015e-22,1.50015e-22,1.50017e-22,2.16039e-22,2.41248e-22
1.50748e-22,1.50749e-22,1.50751e-22,2.24581e-22,2.3556e-22
1.5148e-22,1.5148e-22,1.51482e-22,2.31744e-22,2.27401e-22
1.52209e-22,1.5221e-22,1.52212e-22,2.37484e-22,2.17009e-22
1.52937e-22,1.52937e-22,1.52939e-22,2.41765e-22,2.03978e-22
1.53662e-22,1.53662e-22,1.53664e-22,2.44562e-22,1.88792e-22
1.54385e-22,1.54385e-22,1.54387e-22,2.45857e-22,1.71612e-22
1.55105e-22,1.55106e-22,1.55108e-22,2.45642e-22,1.52617e-22
1.55824e-22,1.55824e-22,1.55826e-22,2.43918e-22,1.3201e-22
1.5654e-22,1.56541e-22,1.56543e-22,2.40697e-22,1.1352e-22
1.57254e-22,1.57255e-22,1.57257e-22,2.35998e-22,9.41745e-23
1.57966e-22,1.57966e-22,1.57969e-22,2.29849e-22,7.41199e-23
1.58676e-22,1.58676e-22,1.58678e-22,2.22289e-22,5.35071e-23
1.59383e-22,1.59383e-22,1.59386e-22,2.13364e-22,3.59675e-23
1.60088e-22,1.60088e-22,1.60091e-22,2.03129e-22,1.82387e-23
1.60791e-22,1.60791e-22,1.60794e-22,1.91646e-22,2.48514e-24
1.61491e-22,1.61492e-22,1.61494e-22,1.78987e-22,-1.13253e-23
1.6219e-22,1.6219e-22,1.62192e-22,1.65228e-22,-2.51001e-23
1.62886e-22,1.62886e-22,1.62888e-22,1.50455e-22,-3.9787e-23
1.63579e-22,1.63579e-22,1.63582e-22,1.34757e-22,-5.56627e-23
1.6427e-22,1.64271e-22,1.64273e-22,1.18232e-22,-7.23578e-23
1.64959e-22,1.6496e-22,1.64962e-22,1.00981e-22,-8.95795e-23
1.65646e-22,1.65646e-22,1.65649e-22,8.31104e-23,-1.07069e-22
